eid/I,type/S,id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S
1,pmtrack,0,1659.9,287,13.7865,232.839,1,C:0 T:0 P:1 W:47
1,pmtrack,0,1665.9,46,11.3666,173.959,0,C:0 T:0 P:0 W:46
1,pmtrack,0,1668.24,286,14.6159,294.357,1,C:0 T:0 P:1 W:46
1,pmtrack,0,1667.82,45,10.9928,171.859,0,C:0 T:0 P:0 W:45
1,pmtrack,0,1668.64,285,18.2405,320.305,1,C:0 T:0 P:1 W:45
1,pmtrack,0,1669.23,44,11.4662,186.876,0,C:0 T:0 P:0 W:44
1,pmtrack,0,1670.87,284,17.0215,305.29,1,C:0 T:0 P:1 W:44
1,pmtrack,0,1670.42,43,12.4458,202.815,0,C:0 T:0 P:0 W:43
1,pmtrack,0,1674.42,283,19.7046,369.087,1,C:0 T:0 P:1 W:43
1,pmtrack,0,1672.75,42,10.8641,174.179,0,C:0 T:0 P:0 W:42
1,pmtrack,0,1677.25,282,13.2874,292.909,1,C:0 T:0 P:1 W:42
1,pmtrack,0,1674.3,41,10.5574,168.513,0,C:0 T:0 P:0 W:41
1,pmtrack,0,1681.34,281,24.3655,338.777,1,C:0 T:0 P:1 W:41
1,pmtrack,0,1676.04,40,10.5247,168.8,0,C:0 T:0 P:0 W:40
1,pmtrack,0,1675.95,280,16.5593,265.028,1,C:0 T:0 P:1 W:40
1,pmtrack,0,1679.18,39,10.554,193.979,0,C:0 T:0 P:0 W:39
1,pmtrack,0,1678.07,279,17.6412,303.786,1,C:0 T:0 P:1 W:39
1,pmtrack,0,1681.13,38,11.4277,212.329,0,C:0 T:0 P:0 W:38
1,pmtrack,0,1681.83,278,16.305,280.404,1,C:0 T:0 P:1 W:38
1,pmtrack,0,1679.21,37,8.71875,139.875,0,C:0 T:0 P:0 W:37
1,pmtrack,0,1682.7,277,19.9807,310.602,1,C:0 T:0 P:1 W:37
1,pmtrack,0,1680.92,36,9.35984,140.931,0,C:0 T:0 P:0 W:36
1,pmtrack,0,1683.56,276,16.1236,264.982,1,C:0 T:0 P:1 W:36
1,pmtrack,0,1682.48,35,9.656,145.577,0,C:0 T:0 P:0 W:35
1,pmtrack,0,1684.91,275,12.6406,256.977,1,C:0 T:0 P:1 W:35
1,pmtrack,0,1684.08,34,10.2158,157.683,0,C:0 T:0 P:0 W:34
1,pmtrack,0,1686.33,274,11.2602,278.79,1,C:0 T:0 P:1 W:34
1,pmtrack,0,1686.1,33,10.4582,163.68,0,C:0 T:0 P:0 W:33
1,pmtrack,0,1689.44,273,13.3526,245.11,1,C:0 T:0 P:1 W:33
1,pmtrack,0,1686.72,32,12.9588,216.212,0,C:0 T:0 P:0 W:32
1,pmtrack,0,1689.98,272,18.5905,342.139,1,C:0 T:0 P:1 W:32
1,pmtrack,0,1687.89,31,12.8994,203.05,0,C:0 T:0 P:0 W:31
1,pmtrack,0,1690.44,30,10.1388,155.356,0,C:0 T:0 P:0 W:30
1,pmtrack,0,1692.63,270,16.2958,277.771,1,C:0 T:0 P:1 W:30
1,pmtrack,0,1692.2,29,9.96194,152.783,0,C:0 T:0 P:0 W:29
1,pmtrack,0,1696.66,269,14.8265,269.269,1,C:0 T:0 P:1 W:29
1,pmtrack,0,1694.21,28,9.24072,142.618,0,C:0 T:0 P:0 W:28
1,pmtrack,0,1699.04,268,14.2132,259.692,1,C:0 T:0 P:1 W:28
1,pmtrack,0,1696.18,27,10.5755,175.15,0,C:0 T:0 P:0 W:27
1,pmtrack,0,1701.29,267,15.2008,286.938,1,C:0 T:0 P:1 W:27
1,pmtrack,0,1697.24,26,11.7544,217.13,0,C:0 T:0 P:0 W:26
1,pmtrack,0,1704.27,266,15.0041,288.83,1,C:0 T:0 P:1 W:26
1,pmtrack,0,1701.78,25,17.1395,283.029,0,C:0 T:0 P:0 W:25
1,pmtrack,1,1525.37,136,37.3355,532.565,0,C:0 T:0 P:0 W:136
1,pmtrack,1,1529,372,169.885,6504.31,1,C:0 T:0 P:1 W:132
1,pmtrack,1,1533.35,137,26.8082,389.874,0,C:0 T:0 P:0 W:137
1,pmtrack,1,1538.47,138,28.8681,414.12,0,C:0 T:0 P:0 W:138
1,pmtrack,1,1544.32,139,30.457,441.419,0,C:0 T:0 P:0 W:139
1,pmtrack,1,1550.24,140,24.3115,415.422,0,C:0 T:0 P:0 W:140
1,pmtrack,1,1555.23,141,34.0852,490.229,0,C:0 T:0 P:0 W:141
1,pmtrack,1,1560.48,142,32.7067,478.663,0,C:0 T:0 P:0 W:142
1,pmtrack,1,1565.04,143,44.4871,616.168,0,C:0 T:0 P:0 W:143
1,pmtrack,1,1571.45,144,32.8454,478.163,0,C:0 T:0 P:0 W:144
1,pmtrack,1,1578.15,145,22.9401,409.827,0,C:0 T:0 P:0 W:145
1,pmtrack,1,1583.92,146,36.2537,529.275,0,C:0 T:0 P:0 W:146
1,pmtrack,1,1590.72,147,24.8292,430.789,0,C:0 T:0 P:0 W:147
1,pmtrack,1,1595.13,371,86.7387,3526.67,1,C:0 T:0 P:1 W:131
1,pmtrack,1,1595.95,148,34.2238,503.541,0,C:0 T:0 P:0 W:148
1,pmtrack,1,1601.93,149,27.7049,424.93,0,C:0 T:0 P:0 W:149
1,pmtrack,1,1607.77,150,35.8957,500.341,0,C:0 T:0 P:0 W:150
1,pmtrack,1,1613.11,151,34.275,532.381,0,C:0 T:0 P:0 W:151
1,pmtrack,1,1620.35,152,36.7854,581.063,0,C:0 T:0 P:0 W:152
1,pmtrack,1,1627.23,153,35.2021,540.779,0,C:0 T:0 P:0 W:153
1,pmtrack,1,1634.44,154,36.3517,578.801,0,C:0 T:0 P:0 W:154
1,pmtrack,1,1641.7,155,38.4144,605.993,0,C:0 T:0 P:0 W:155
1,pmtrack,1,1650.23,156,34.5528,538.146,0,C:0 T:0 P:0 W:156
1,pmtrack,1,1657.55,157,38.5796,605.862,0,C:0 T:0 P:0 W:157
1,pmtrack,1,1664.99,158,36.7461,582.44,0,C:0 T:0 P:0 W:158
1,pmtrack,1,1672.67,159,45.7414,712.043,0,C:0 T:0 P:0 W:159
1,pmtrack,1,1679.21,160,39.1443,606.997,0,C:0 T:0 P:0 W:160
1,pmtrack,1,1687.14,161,43.7459,645.398,0,C:0 T:0 P:0 W:161
1,pmtrack,1,1690.92,370,160.35,12672.8,1,C:0 T:0 P:1 W:130
1,pmtrack,1,1695.49,162,40.6821,616.196,0,C:0 T:0 P:0 W:162
1,pmtrack,1,1703.9,163,44.6349,661.372,0,C:0 T:0 P:0 W:163
1,pmtrack,1,1713.12,164,48.5996,716.264,0,C:0 T:0 P:0 W:164
1,pmtrack,1,1721.04,165,47.8318,693.675,0,C:0 T:0 P:0 W:165
1,pmtrack,1,1725.19,166,28.8263,401.699,0,C:0 T:0 P:0 W:166
1,pmtrack,2,1176.62,96,29.9565,434.454,0,C:0 T:0 P:0 W:96
1,pmtrack,2,1182.09,97,48.2938,720.5,0,C:0 T:0 P:0 W:97
1,pmtrack,2,1187.78,98,58.4333,929.265,0,C:0 T:0 P:0 W:98
1,pmtrack,2,1199.53,99,41.2596,651.767,0,C:0 T:0 P:0 W:99
1,pmtrack,2,1209.66,347,91.0866,1279.84,1,C:0 T:0 P:1 W:107
1,pmtrack,2,1208.68,100,30.2591,444.032,0,C:0 T:0 P:0 W:100
1,pmtrack,2,1214.25,348,89.3465,1294.21,1,C:0 T:0 P:1 W:108
1,pmtrack,2,1213.84,101,32.445,486.298,0,C:0 T:0 P:0 W:101
1,pmtrack,2,1220.47,102,30.6367,473.923,0,C:0 T:0 P:0 W:102
1,pmtrack,2,1223.96,349,120.748,1887.02,1,C:0 T:0 P:1 W:109
1,pmtrack,2,1229.31,103,25.9087,380.042,0,C:0 T:0 P:0 W:103
1,pmtrack,2,1236.75,350,83.8533,1285.21,1,C:0 T:0 P:1 W:110
1,pmtrack,2,1240.46,104,26.8163,366.794,0,C:0 T:0 P:0 W:104
1,pmtrack,2,1247.59,351,57.1779,921.931,1,C:0 T:0 P:1 W:111
1,pmtrack,2,1247.6,105,17.8366,274.403,0,C:0 T:0 P:0 W:105
1,pmtrack,2,1249.39,106,40.1967,635.568,0,C:0 T:0 P:0 W:106
1,pmtrack,2,1253.47,352,96.3506,1474.83,1,C:0 T:0 P:1 W:112
1,pmtrack,2,1259.79,107,37.9101,610.409,0,C:0 T:0 P:0 W:107
1,pmtrack,2,1269.61,353,108.296,1666.8,1,C:0 T:0 P:1 W:113
1,pmtrack,2,1271.5,108,16.0305,272.506,0,C:0 T:0 P:0 W:108
1,pmtrack,2,1280.69,109,22.2062,351.438,0,C:0 T:0 P:0 W:109
1,pmtrack,2,1286.8,354,61.0219,931.056,1,C:0 T:0 P:1 W:114
1,pmtrack,2,1289.87,110,18.4866,344.03,0,C:0 T:0 P:0 W:110
1,pmtrack,2,1295.98,355,38.0084,722.389,1,C:0 T:0 P:1 W:115
1,pmtrack,2,1296.47,111,31.9857,499.473,0,C:0 T:0 P:0 W:111
1,pmtrack,2,1304.66,356,68.2047,1012.71,1,C:0 T:0 P:1 W:116
1,pmtrack,2,1307.36,112,27.8227,410.966,0,C:0 T:0 P:0 W:112
1,pmtrack,2,1320.68,113,15.9211,247.06,0,C:0 T:0 P:0 W:113
1,pmtrack,2,1326.15,357,26.2237,397.837,1,C:0 T:0 P:1 W:117
1,pmtrack,2,1326.07,114,27.9124,365.188,0,C:0 T:0 P:0 W:114
1,pmtrack,2,1330.74,358,79.5795,1202.16,1,C:0 T:0 P:1 W:118
1,pmtrack,2,1333.85,115,27.2916,399.524,0,C:0 T:0 P:0 W:115
1,pmtrack,2,1343.92,359,101.562,1554.94,1,C:0 T:0 P:1 W:119
1,pmtrack,2,1343.74,116,28.4094,430.316,0,C:0 T:0 P:0 W:116
1,pmtrack,2,1355.84,117,19.9621,285.267,0,C:0 T:0 P:0 W:117
1,pmtrack,2,1360.64,360,38.7844,610.935,1,C:0 T:0 P:1 W:120
1,pmtrack,2,1360.89,118,30.1695,395.159,0,C:0 T:0 P:0 W:118
1,pmtrack,2,1366.21,361,80.7498,1203.61,1,C:0 T:0 P:1 W:121
1,pmtrack,2,1369.75,119,27.5949,414.294,0,C:0 T:0 P:0 W:119
1,pmtrack,2,1379.44,362,94.1445,1430.91,1,C:0 T:0 P:1 W:122
1,pmtrack,2,1381.19,120,27.0104,472.451,0,C:0 T:0 P:0 W:120
1,pmtrack,2,1399.4,363,97.5819,1546.34,1,C:0 T:0 P:1 W:123
1,pmtrack,2,1397.14,121,19.1916,321.565,0,C:0 T:0 P:0 W:121
1,pmtrack,2,1407.21,364,18.7222,262.31,1,C:0 T:0 P:1 W:124
1,pmtrack,2,1407.4,122,15.7774,255.012,0,C:0 T:0 P:0 W:122
1,pmtrack,2,1414.44,123,27.0517,371.994,0,C:0 T:0 P:0 W:123
1,pmtrack,2,1418.62,365,82.5223,1206.76,1,C:0 T:0 P:1 W:125
1,pmtrack,2,1424.1,124,18.6174,307.444,0,C:0 T:0 P:0 W:124
1,pmtrack,2,1434.14,366,60.7054,1007.57,1,C:0 T:0 P:1 W:126
1,pmtrack,2,1438.76,125,9.70099,166.919,0,C:0 T:0 P:0 W:125
1,pmtrack,2,1448.11,126,13.6759,232.862,0,C:0 T:0 P:0 W:126
1,pmtrack,2,1454.01,368,71.9314,1034.16,1,C:0 T:0 P:1 W:128
1,pmtrack,2,1454.49,127,18.2018,293.99,0,C:0 T:0 P:0 W:127
1,pmtrack,2,1460.76,128,18.3643,303.072,0,C:0 T:0 P:0 W:128
1,pmtrack,2,1464.88,369,65.3285,951.529,1,C:0 T:0 P:1 W:129
1,pmtrack,2,1472.86,129,20.6982,349.723,0,C:0 T:0 P:0 W:129
1,pmtrack,2,1480.29,370,71.8848,1127.71,1,C:0 T:0 P:1 W:130
1,pmtrack,2,1485.03,130,16.033,282.308,0,C:0 T:0 P:0 W:130
1,pmtrack,2,1497.39,371,69.1694,1059.68,1,C:0 T:0 P:1 W:131
1,pmtrack,65539,1372.75,382,9.2507,123.706,1,C:0 T:0 P:1 W:142
1,pmtrack,65539,1380.55,144,9.77494,194.652,0,C:0 T:0 P:0 W:144
1,pmtrack,65539,1384.58,143,59.4961,862.814,0,C:0 T:0 P:0 W:143
1,pmtrack,65539,1388.54,381,165.003,2556.41,1,C:0 T:0 P:1 W:141
1,pmtrack,65539,1398.05,142,48.7611,762.037,0,C:0 T:0 P:0 W:142
1,pmtrack,65539,1406.16,380,147.798,2506,1,C:0 T:0 P:1 W:140
1,pmtrack,65539,1411.47,141,38.8238,655.468,0,C:0 T:0 P:0 W:141
1,pmtrack,65539,1423.88,379,124.002,2009.13,1,C:0 T:0 P:1 W:139
1,pmtrack,65539,1423.78,140,40.3103,607.32,0,C:0 T:0 P:0 W:140
1,pmtrack,65539,1437.96,378,109.426,1735.51,1,C:0 T:0 P:1 W:138
1,pmtrack,65539,1435.87,139,34.4738,482.344,0,C:0 T:0 P:0 W:139
1,pmtrack,65539,1447.37,138,42.7884,622.043,0,C:0 T:0 P:0 W:138
1,pmtrack,65539,1451.78,377,115.252,1804.12,1,C:0 T:0 P:1 W:137
1,pmtrack,65539,1460.91,137,34.1714,552.125,0,C:0 T:0 P:0 W:137
1,pmtrack,65539,1470.48,376,133.347,2108.07,1,C:0 T:0 P:1 W:136
1,pmtrack,65539,1472.05,136,30.4004,515.641,0,C:0 T:0 P:0 W:136
1,pmtrack,65539,1482.59,375,93.2674,1528.25,1,C:0 T:0 P:1 W:135
1,pmtrack,65539,1479.46,135,39.2977,520.442,0,C:0 T:0 P:0 W:135
1,pmtrack,65539,1520,135,33.8018,472.79,0,C:0 T:0 P:0 W:135
1,pmtrack,65539,1493.52,374,112.292,1840.63,1,C:0 T:0 P:1 W:134
1,pmtrack,65539,1487.49,134,27.7267,320.236,0,C:0 T:0 P:0 W:134
1,pmtrack,65539,1515.78,134,27.3085,453.9,0,C:0 T:0 P:0 W:134
1,pmtrack,65539,1507.22,373,132.647,2123.19,1,C:0 T:0 P:1 W:133
1,pmtrack,65539,1506.6,133,54.4945,800.548,0,C:0 T:0 P:0 W:133
